2021.09.06 17:05:09 | INFO | process: 1 | module name: My_logger | func name: <module> | line number: 57 | message: celery_config imported True
2021.09.06 17:05:09 | INFO | process: 1 | module name: My_logger | func name: <module> | line number: 25 | message: main imported
2021.09.06 17:05:53 | INFO | process: 15 | module name: My_logger | func name: <module> | line number: 57 | message: celery_config imported True
2021.09.06 17:05:53 | INFO | process: 15 | module name: My_logger | func name: <module> | line number: 25 | message: main imported
2021.09.06 17:06:10 | INFO | process: 8 | module name: My_logger | func name: test | line number: 17 | message: WE ARE HERE
2021.09.06 17:06:10 | INFO | process: 8 | module name: My_logger | func name: test | line number: 20 | message: 4
2021.09.06 17:07:19 | INFO | process: 1 | module name: My_logger | func name: <module> | line number: 57 | message: celery_config imported True
2021.09.06 17:07:19 | INFO | process: 1 | module name: My_logger | func name: <module> | line number: 25 | message: main imported
2021.09.06 17:07:19 | INFO | process: 1 | module name: My_logger | func name: <module> | line number: 57 | message: celery_config imported True
2021.09.06 17:07:19 | INFO | process: 1 | module name: My_logger | func name: <module> | line number: 25 | message: main imported
2021.09.06 17:07:32 | INFO | process: 9 | module name: My_logger | func name: <module> | line number: 57 | message: celery_config imported True
2021.09.06 17:07:32 | INFO | process: 9 | module name: My_logger | func name: <module> | line number: 25 | message: main imported
2021.09.06 17:07:42 | INFO | process: 8 | module name: My_logger | func name: test | line number: 17 | message: WE ARE HERE
2021.09.06 17:07:42 | INFO | process: 8 | module name: My_logger | func name: test | line number: 20 | message: 4
2021.09.06 17:08:05 | INFO | process: 9 | module name: My_logger | func name: test | line number: 17 | message: WE ARE HERE
2021.09.06 17:08:05 | INFO | process: 9 | module name: My_logger | func name: test | line number: 20 | message: 4
